person1,person2,weight,relation_types,documents_count
Φαῶφι,Μαξιμιανοῦ,1,co_occurs_in_document,1
Φαῶφι,Σεουήρου Σεβαστῶν,1,co_occurs_in_document,1
Φαῶφι,Κωνσταντίνου,1,co_occurs_in_document,1
Φαῶφι,Καισάρων Αὐρήλιοι,1,co_occurs_in_document,1
Φαῶφι,Αὐρήλιος,1,co_occurs_in_document,1
Φαῶφι,Αὐρηλία Εἱερακείενα,1,co_occurs_in_document,1
Φαῶφι,Τασηχθισος ΚαπίτωνοςΚαπίτωνι,1,co_occurs_in_document,1
Φαῶφι,Μωθιτῶν,1,co_occurs_in_document,1
Φαῶφι,Πμοῦν Τάμετρα,1,co_occurs_in_document,1
Φαῶφι,Αὐρηλίῳ Παμοῦρ,1,co_occurs_in_document,1
Φαῶφι,Ψάιτος,1,co_occurs_in_document,1
Φαῶφι,Κέλλεως,1,co_occurs_in_document,1
Φαῶφι,Μωθίτου,1,co_occurs_in_document,1
Φαῶφι,Σεβαστῶν,1,co_occurs_in_document,1
Φαῶφι,Στατίου,1,co_occurs_in_document,1
Φαῶφι,Πομπηΐου Πρόβου,1,co_occurs_in_document,1
Φαῶφι,Εἰδῶν,1,co_occurs_in_document,1
Φαῶφι,Σεμνῆς,1,co_occurs_in_document,1
Φαῶφι,Σιβιτύλλου,1,co_occurs_in_document,1
Φαῶφι,Μωθι,1,co_occurs_in_document,1
Φαῶφι,Αὐρήλιος Πι,1,co_occurs_in_document,1
Φαῶφι,Αἰγυπτίουςἐγυπτίους,1,co_occurs_in_document,1
Φαῶφι,Δομιτιανοῦ Σε,1,co_occurs_in_document,1
Φαῶφι,Γερμανικοῦ,1,co_occurs_in_document,1
Φαῶφι,Κερκεσούχων,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Θαήσει,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Θερμούθει,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Τῦβι,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Θεσμοφό,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Μεχείρ,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Μεχεὶρ,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Φαμενὼθ,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Φαρμοῦ,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Φαρμοῦθι,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Χοιάχ,1,co_occurs_in_document,1
Φαῶφι Θερμούθει,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Θαήσει,Θερμούθει,1,co_occurs_in_document,1
Θαήσει,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Θαήσει,Τῦβι,1,co_occurs_in_document,1
Θαήσει,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Θαήσει,Θεσμοφό,1,co_occurs_in_document,1
Θαήσει,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Θαήσει,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Θαήσει,Μεχείρ,1,co_occurs_in_document,1
Θαήσει,Μεχεὶρ,1,co_occurs_in_document,1
Θαήσει,Φαμενὼθ,1,co_occurs_in_document,1
Θαήσει,Φαρμοῦ,1,co_occurs_in_document,1
Θαήσει,Φαρμοῦθι,1,co_occurs_in_document,1
Θαήσει,Χοιάχ,1,co_occurs_in_document,1
Θαήσει,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Θαήσει,Θώνιος,1,co_occurs_in_document,1
Θαήσει,Αἰγύπτου,1,co_occurs_in_document,1
Θαήσει,Αἰγύπτου Φλάουιος,1,co_occurs_in_document,1
Θαήσει,Λαῖτος,1,co_occurs_in_document,1
Θαήσει,Παύλου,1,co_occurs_in_document,1
Θαήσει,Διονυσοδώρου,1,co_occurs_in_document,1
Θαήσει,Εου,1,co_occurs_in_document,1
Θαήσει,Χοιὰκ,1,co_occurs_in_document,1
Θερμούθει,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Θερμούθει,Τῦβι,1,co_occurs_in_document,1
Θερμούθει,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Θερμούθει,Θεσμοφό,1,co_occurs_in_document,1
Θερμούθει,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Θερμούθει,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Θερμούθει,Μεχείρ,1,co_occurs_in_document,1
Θερμούθει,Μεχεὶρ,1,co_occurs_in_document,1
Θερμούθει,Φαμενὼθ,1,co_occurs_in_document,1
Θερμούθει,Φαρμοῦ,1,co_occurs_in_document,1
Θερμούθει,Φαρμοῦθι,1,co_occurs_in_document,1
Θερμούθει,Χοιάχ,1,co_occurs_in_document,1
Θερμούθει,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Τῦβι,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Θεσμοφό,1,co_occurs_in_document,1
Χοιὰχ Εἰρήνη,Τῦβι Θερμούθει,1,co_occurs_in_document,1
